aid,type,url,gender
Maya Rudolph,cast,/Cast/?MaRu,female
Carrie Brownstein,guest,/Guests/?3141,female
Drake,guest,/Guests/?3137,male
Brie Larson,guest,/Guests/?3131,female
Amy Davidson,guest,/Guests/?3135,female
Heather Desaulniers,guest,/Guests/?3136,female
Laura Campbell,guest,/Guests/?3133,female
Alicia Keys,guest,/Guests/?3132,female
Julia Louis-Dreyfus,cast,/Cast/?JuLD,female
Tony Hale,guest,/Guests/?3129,male
Nick Jonas,guest,/Guests/?3127,male
Tove Lo,guest,/Guests/?3130,female
Russell Crowe,guest,/Guests/?3122,male
Al Sharpton,guest,/Guests/?3124,male
Margo Price,guest,/Guests/?3123,female
Mike O'Brien,cast,/Cast/?MPOB,male
Peter Dinklage,guest,/Guests/?3120,male
Gwen Stefani,guest,/Guests/?3121,female
Ariana Grande,guest,/Guests/?3118,female
Future,guest,/Guests/?3115,unknown
Kanye West,guest,/Guests/?3103,male
El DeBarge,guest,/Guests/?3105,female
Kelly Price,guest,/Guests/?3108,female
Kirk Franklin,guest,/Guests/?3106,male
The-Dream,guest,/Guests/?3109,unknown
Young Thug,guest,/Guests/?3110,female
Von Miller,guest,/Guests/?3107,unknown
Al Roker,guest,/Guests/?3113,male
Dylan Dreyer,guest,/Guests/?3111,male
Natalie Morales,guest,/Guests/?3112,female
Bernie Sanders,guest,/Guests/?3099,male
The 1975,guest,/Guests/?3098,female
Owen Wilson,guest,/Guests/?3101,male
Ronda Rousey,guest,/Guests/?3094,female
Selena Gomez,guest,/Guests/?3095,female
Wally Feresten,crew,/Crew/?WaFe,male
Adam Driver,guest,/Guests/?3090,male
Liev Schreiber,guest,/Guests/?3093,unknown
Amy Poehler,cast,/Cast/?AmPo,female
Bruce Springsteen & The E Street Band,guest,/Guests/?3085,male
Amy Schumer,guest,/Guests/?3088,female
Gayle King,guest,/Guests/?3089,female
Paul McCartney,guest,/Guests/?3086,male
Chris Hemsworth,guest,/Guests/?3079,male
Jeremih,guest,/Guests/?3082,unknown
Mike Myers,cast,/Cast/?MiMy,male
Leon Bridges,guest,/Guests/?3077,male
Paula Pell,crew,/Crew/?PaPe,female
Matthew McConaughey,guest,/Guests/?3068,male
Daisy Ridley,guest,/Guests/?3074,female
