epid,aid
20001118,Tom Green
20001111,Calista Flockhart
20001104,Charlize Theron
20001021,Dana Carvey
20001014,Kate Hudson
20001007,Rob Lowe
20000520,Jackie Chan
20000513,Britney Spears
20000506,John Goodman
20000415,Tobey Maguire
20000408,Christopher Walken
20000318,The Rock
20000311,Joshua Jackson
20000219,Ben Affleck
20000212,Julianna Margulies
20000205,Alan Cumming
20000115,Freddie Prinze Jr.
20000108,Jamie Foxx
19991211,Danny DeVito
19991204,Christina Ricci
19991120,Jennifer Aniston
19991113,Garth Brooks
19991106,Dylan McDermott
19991023,Norm MacDonald
19991016,Heather Graham
19991002,Jerry Seinfeld
19990515,Sarah Michelle Gellar
19990508,Cuba Gooding Jr.
19990410,John Goodman
19990320,Drew Barrymore
19990313,Ray Romano
19990220,Bill Murray
19990213,Brendan Fraser
19990206,Gwyneth Paltrow
19990116,James Van Der Beek
19990109,Bill Paxton
19981212,Alec Baldwin
19981205,Vince Vaughn
19981121,Jennifer Love Hewitt
19981114,Joan Allen
19981107,David Spade
19981024,Ben Stiller
19981017,Lucy Lawless
19981003,Kelsey Grammer
19980926,Cameron Diaz
19980509,David Duchovny
19980502,Matthew Broderick
19980411,Greg Kinnear
19980404,Steve Buscemi
19980314,Julianne Moore
19980307,Scott Wolf
19980228,Garth Brooks
19980214,Roma Downey
19980207,John Goodman
19980117,Sarah Michelle Gellar
19980110,Samuel L. Jackson
19971213,Helen Hunt
19971206,Nathan Lane
19971122,Rudy Giuliani
19971115,Claire Danes
19971108,Jon Lovitz
19971025,Chris Farley
19971018,Brendan Fraser
19971004,Matthew Perry
19970927,Sylvester Stallone
19970517,Jeff Goldblum
19970510,John Goodman
19970419,Pamela Lee
19970412,Rob Lowe
19970322,Mike Myers
19970315,Sting
19970222,Alec Baldwin
19970215,Chevy Chase
19970208,Neve Campbell
19970118,David Alan Grier
19970111,Kevin Spacey
19961214,Rosie O'Donnell
19961207,Martin Short
19961123,Phil Hartman
19961116,Robert Downey Jr.
19961102,Chris Rock
19961026,Dana Carvey
19961019,Bill Pullman
19961005,Lisa Kudrow
19960928,Tom Hanks
19960518,Jim Carrey
19960511,Christine Baranski
19960420,Teri Hatcher
19960413,Steve Forbes
19960323,Phil Hartman
19960316,John Goodman
19960224,Elle MacPherson
19960217,Tom Arnold
19960210,Danny Aiello
19960120,Alec Baldwin
19960113,Christopher Walken
19951216,Madeline Kahn
19951209,David Alan Grier
19951202,Anthony Edwards
19951118,Laura Leighton
19951111,Quentin Tarantino
19951028,Gabriel Byrne
19951021,David Schwimmer
19951007,Chevy Chase
19950930,Mariel Hemingway
19950513,David Duchovny
19950506,Bob Saget
19950415,Courteney Cox
19950408,Damon Wayans
19950325,John Goodman
19950318,Paul Reiser
19950225,George Clooney
19950218,Deion Sanders
19950211,Bob Newhart
19950121,David Hyde Pierce
19950114,Jeff Daniels
19941217,George Foreman
19941210,Alec Baldwin
19941203,Roseanne
19941119,John Turturro
19941112,Sarah Jessica Parker
19941022,Dana Carvey
19941015,John Travolta
19941001,Marisa Tomei
19940924,Steve Martin
19940514,Heather Locklear
19940507,John Goodman
19940416,Emilio Estevez
19940409,Kelsey Grammer
19940319,Helen Hunt
19940312,Nancy Kerrigan
19940219,Martin Lawrence
19940212,Alec Baldwin
19940212,Kim Basinger
19940205,Patrick Stewart
19940115,Sara Gilbert
19940108,Jason Patric
19931211,Sally Field
19931204,Charlton Heston
19931120,Nicole Kidman
19931113,Rosie O'Donnell
19931030,Christian Slater
19931023,John Malkovich
19931009,Jeff Goldblum
19931002,Shannen Doherty
19930925,Charles Barkley
19930515,Kevin Kline
19930508,Christina Applegate
19930417,Kirstie Alley
19930410,Jason Alexander
19930320,Miranda Richardson
19930313,John Goodman
19930220,Bill Murray
19930213,Alec Baldwin
19930206,Luke Perry
19930116,Harvey Keitel
19930109,Danny DeVito
19921212,Glenn Close
19921205,Tom Arnold
19921121,Sinbad
19921114,Michael Keaton
19921031,Catherine O'Hara
19921024,Christopher Walken
19921010,Joe Pesci
19921003,Tim Robbins
19920926,Nicolas Cage
19920516,Woody Harrelson
19920509,Tom Hanks
19920418,Jerry Seinfeld
19920411,Sharon Stone
19920321,Mary Stuart Masterson
19920314,John Goodman
19920222,Roseanne Arnold
19920222,Tom Arnold
19920215,Jason Priestley
19920208,Susan Dey
19920118,Chevy Chase
19920111,Rob Morrow
19911214,Steve Martin
19911207,Hammer
19911123,Macaulay Culkin
19911116,Linda Hamilton
19911102,Kiefer Sutherland
19911026,Christian Slater
19911012,Kirstie Alley
19911005,Jeff Daniels
19910928,Michael Jordan
19910518,George Wendt
19910511,Delta Burke
19910420,Steven Seagal
19910413,Catherine O'Hara
