aired,epid,epno,sid
"May 18, 1991",19910518,19,16
"May 11, 1991",19910511,18,16
"April 20, 1991",19910420,17,16
"April 13, 1991",19910413,16,16
"March 23, 1991",19910323,15,16
"March 16, 1991",19910316,14,16
"February 23, 1991",19910223,13,16
"February 16, 1991",19910216,12,16
"February 9, 1991",19910209,11,16
"January 19, 1991",19910119,10,16
"January 12, 1991",19910112,9,16
"December 15, 1990",19901215,8,16
"December 8, 1990",19901208,7,16
"December 1, 1990",19901201,6,16
"November 17, 1990",19901117,5,16
"November 10, 1990",19901110,4,16
"October 27, 1990",19901027,3,16
"October 20, 1990",19901020,2,16
"October 6, 1990",19901006,1,16
"September 29, 1990",19900929,0,16
"May 19, 1990",19900519,19,15
"May 12, 1990",19900512,18,15
"April 21, 1990",19900421,17,15
"April 14, 1990",19900414,16,15
"March 24, 1990",19900324,15,15
"March 17, 1990",19900317,14,15
"February 24, 1990",19900224,13,15
"February 17, 1990",19900217,12,15
"February 10, 1990",19900210,11,15
"January 20, 1990",19900120,10,15
"January 13, 1990",19900113,9,15
"December 16, 1989",19891216,8,15
"December 9, 1989",19891209,7,15
"December 2, 1989",19891202,6,15
"November 18, 1989",19891118,5,15
"November 11, 1989",19891111,4,15
"October 28, 1989",19891028,3,15
"October 21, 1989",19891021,2,15
"October 7, 1989",19891007,1,15
"September 30, 1989",19890930,0,15
"May 20, 1989",19890520,19,14
"May 13, 1989",19890513,18,14
"April 22, 1989",19890422,17,14
"April 15, 1989",19890415,16,14
"April 1, 1989",19890401,15,14
"March 25, 1989",19890325,14,14
"February 25, 1989",19890225,13,14
"February 18, 1989",19890218,12,14
"February 11, 1989",19890211,11,14
"January 28, 1989",19890128,10,14
"January 21, 1989",19890121,9,14
"December 17, 1988",19881217,8,14
"December 10, 1988",19881210,7,14
"December 3, 1988",19881203,6,14
"November 19, 1988",19881119,5,14
"November 12, 1988",19881112,4,14
"November 5, 1988",19881105,3,14
"October 22, 1988",19881022,2,14
"October 15, 1988",19881015,1,14
"October 8, 1988",19881008,0,14
"February 27, 1988",19880227,12,13
"February 20, 1988",19880220,11,13
"February 13, 1988",19880213,10,13
"January 30, 1988",19880130,9,13
"January 23, 1988",19880123,8,13
"December 19, 1987",19871219,7,13
"December 12, 1987",19871212,6,13
"December 5, 1987",19871205,5,13
"November 21, 1987",19871121,4,13
"November 14, 1987",19871114,3,13
"October 31, 1987",19871031,2,13
"October 24, 1987",19871024,1,13
"October 17, 1987",19871017,0,13
"May 23, 1987",19870523,19,12
"May 16, 1987",19870516,18,12
"May 9, 1987",19870509,17,12
"April 18, 1987",19870418,16,12
"April 11, 1987",19870411,15,12
"March 28, 1987",19870328,14,12
"March 21, 1987",19870321,13,12
"February 28, 1987",19870228,12,12
"February 21, 1987",19870221,11,12
"February 14, 1987",19870214,10,12
"January 31, 1987",19870131,9,12
"January 24, 1987",19870124,8,12
"December 20, 1986",19861220,7,12
"December 13, 1986",19861213,6,12
"December 6, 1986",19861206,5,12
"November 22, 1986",19861122,4,12
"November 15, 1986",19861115,3,12
"November 8, 1986",19861108,2,12
"October 18, 1986",19861018,1,12
"October 11, 1986",19861011,0,12
"May 24, 1986",19860524,17,11
"May 17, 1986",19860517,16,11
"May 10, 1986",19860510,15,11
"April 19, 1986",19860419,14,11
"April 12, 1986",19860412,13,11
"March 22, 1986",19860322,12,11
"March 15, 1986",19860315,11,11
"February 22, 1986",19860222,10,11
"February 15, 1986",19860215,9,11
"February 8, 1986",19860208,8,11
"January 25, 1986",19860125,7,11
"January 18, 1986",19860118,6,11
"December 21, 1985",19851221,5,11
"December 14, 1985",19851214,4,11
"December 7, 1985",19851207,3,11
"November 23, 1985",19851123,2,11
"November 16, 1985",19851116,1,11
"November 9, 1985",19851109,0,11
"April 13, 1985",19850413,16,10
"April 6, 1985",19850406,15,10
"March 30, 1985",19850330,14,10
"February 16, 1985",19850216,13,10
"February 9, 1985",19850209,12,10
"February 2, 1985",19850202,11,10
"January 19, 1985",19850119,10,10
"January 12, 1985",19850112,9,10
"December 15, 1984",19841215,8,10
"December 8, 1984",19841208,7,10
"December 1, 1984",19841201,6,10
"November 17, 1984",19841117,5,10
"November 10, 1984",19841110,4,10
"November 3, 1984",19841103,3,10
"October 20, 1984",19841020,2,10
"October 13, 1984",19841013,1,10
"October 6, 1984",19841006,0,10
"May 12, 1984",19840512,18,9
"May 5, 1984",19840505,17,9
"April 14, 1984",19840414,16,9
"April 7, 1984",19840407,15,9
"March 17, 1984",19840317,14,9
"February 25, 1984",19840225,13,9
"February 18, 1984",19840218,12,9
"February 11, 1984",19840211,11,9
"January 28, 1984",19840128,10,9
"January 21, 1984",19840121,9,9
"January 14, 1984",19840114,8,9
"December 10, 1983",19831210,7,9
"December 3, 1983",19831203,6,9
"November 19, 1983",19831119,5,9
"November 12, 1983",19831112,4,9
"November 5, 1983",19831105,3,9
"October 22, 1983",19831022,2,9
"October 15, 1983",19831015,1,9
"October 8, 1983",19831008,0,9
"May 14, 1983",19830514,19,8
"May 7, 1983",19830507,18,8
"April 16, 1983",19830416,17,8
"April 9, 1983",19830409,16,8
"March 19, 1983",19830319,15,8
"March 12, 1983",19830312,14,8
"February 26, 1983",19830226,13,8
"February 19, 1983",19830219,12,8
"February 5, 1983",19830205,11,8
"January 29, 1983",19830129,10,8
"January 22, 1983",19830122,9,8
"December 11, 1982",19821211,8,8
"December 4, 1982",19821204,7,8
"November 20, 1982",19821120,6,8
"November 13, 1982",19821113,5,8
"October 30, 1982",19821030,4,8
"October 23, 1982",19821023,3,8
"October 9, 1982",19821009,2,8
"October 2, 1982",19821002,1,8
"September 25, 1982",19820925,0,8
"May 22, 1982",19820522,19,7
"May 15, 1982",19820515,18,7
"April 24, 1982",19820424,17,7
"April 17, 1982",19820417,16,7
"April 10, 1982",19820410,15,7
"March 27, 1982",19820327,14,7
"March 20, 1982",19820320,13,7
"February 27, 1982",19820227,12,7
"February 20, 1982",19820220,11,7
"February 6, 1982",19820206,10,7
"January 30, 1982",19820130,9,7
"January 23, 1982",19820123,8,7
"December 12, 1981",19811212,7,7
"December 5, 1981",19811205,6,7
"November 14, 1981",19811114,5,7
"November 7, 1981",19811107,4,7
"October 31, 1981",19811031,3,7
"October 17, 1981",19811017,2,7
"October 10, 1981",19811010,1,7
"October 3, 1981",19811003,0,7
"April 11, 1981",19810411,12,6
"March 7, 1981",19810307,11,6
"February 21, 1981",19810221,10,6
"February 14, 1981",19810214,9,6
"February 7, 1981",19810207,8,6
"January 24, 1981",19810124,7,6
"January 17, 1981",19810117,6,6
"January 10, 1981",19810110,5,6
"December 20, 1980",19801220,4,6
"December 13, 1980",19801213,3,6
"December 6, 1980",19801206,2,6
"November 22, 1980",19801122,1,6
"November 15, 1980",19801115,0,6
"May 24, 1980",19800524,19,5
"May 17, 1980",19800517,18,5
"May 10, 1980",19800510,17,5
"April 19, 1980",19800419,16,5
