impid,aid,name
3328,Kenan Thompson,Elijah Cummings
3967,John Mulaney,Alan Dershowitz
3971,Beck Bennett,Robert Kraft
3970,Alex Moffat,Ross Cellino
3969,Kyle Mooney,Stephen Barnes
3973,John Mulaney,Humphrey Bogart
3974,Kate McKinnon,Lauren Bacall
3956,Beck Bennett,William Barr
3747,Kyle Mooney,Jim Acosta
3784,Alex Moffat,Charles Schumer
3957,Don Cheadle,Spike Lee
3958,Beck Bennett,Sam Elliott
3935,Pete Davidson,Rami Malek
3961,Kate McKinnon,Glenn Close
3962,Kyle Mooney,Bradley Cooper
3960,Chris Redd,Mahershala Ali
3959,Cecily Strong,Olivia Colman
3754,Melissa Villasenor,Lady Gaga
3945,Aidy Bryant,Matt Whitaker
3814,Leslie Jones,Donna Brazile
3946,Cecily Strong,Peggy Noonan
3947,Kenan Thompson,Eugene Robinson
3949,Halsey,Rashida Tlaib
3950,Aidy Bryant,Annie Kuster
3953,Heidi Gardner,Abigail Spanberger
3938,Leslie Jones,Maxine Waters
3952,Ego Nwodim,Ilhan Omar
3951,Cecily Strong,Kyrsten Sinema
3954,Halsey,Lili Reinhart
3955,Beck Bennett,Cole Sprouse
3941,Steve Martin,Roger Stone
3944,Chris Redd,Soulja Boy
3939,Mikey Day,Steve King
3937,Ego Nwodim,Cardi B
3940,Kyle Mooney,"Tony Shalhoub , Abe"
2144,Kenan Thompson,Bill Cosby
3892,Matt Damon,Brett Kavanaugh
3926,Matt Damon,Chris Hemsworth
3927,Matt Damon,Matthew McConaughey
3928,Aidy Bryant,Amy Sherman-Palladino
3929,Aidy Bryant,Hannah Gadsby
3861,Aidy Bryant,Roseanne
3855,Heidi Gardner,Allison Janney
3240,Kate McKinnon,Ellen DeGeneres
3932,Kate McKinnon,Michelle Wolf
3931,Ego Nwodim,Tiffany Haddish
3930,Cecily Strong,Rachel Brosnahan
3933,Kenan Thompson,Michael Strahan
3934,Kenan Thompson,Terry Crews
3699,Melissa Villasenor,Sarah Silverman
3936,Matt Damon,David Cameron
3883,Aidy Bryant,Elton John
3923,Fred Armisen,Mohammad bin Salman
3924,Claire Foy,Katty Kay
3777,Mikey Day,Willie Geist
3776,Kate McKinnon,Mika Brzezinski
3773,Alex Moffat,Joe Scarborough
3920,Pete Davidson,Tom Scibelli
3919,Leslie Jones,Marcia Fudge
3921,Steve Carell,Jeff Bezos
3922,Mikey Day,Denver Riggleman
3917,Liev Schreiber,Michael Barbaro
3918,Alex Moffat,Marc Maron
3535,Cecily Strong,Sarah Koenig
3298,Kenan Thompson,Ving Rhames
3912,Kenan Thompson,David Clarke
3913,Beck Bennett,Simon Cowell
3915,Kate McKinnon,Heidi Klum
3916,Kyle Mooney,Howie Mandel
3914,Ego Nwodim,Melanie Brown
3910,Kenan Thompson,Jim Brown
3911,Heidi Gardner,Taylor Swift
3894,Aidy Bryant,Rachel Mitchell
3907,Pete Davidson,Jeff Flake
3906,Mikey Day,Joe Manchin
3903,Heidi Gardner,Dana Bash
3897,Kyle Mooney,John Kennedy
3904,Kenan Thompson,Don Lemon
3905,Melissa Villasenor,Kate Bennett
3908,Beck Bennett,Ted Cruz
3909,Awkwafina,Sandra Oh
3585,Cecily Strong,Marion Cotillard
3896,Beck Bennett,Orrin Hatch
3899,Pete Davidson,Sheldon Whitehouse
3898,Mikey Day,Thom Tillis
3874,Leslie Jones,Harris Faulkner
3895,Alex Moffat,Chuck Grassley
3812,Cecily Strong,Dianne Feinstein
3900,Leslie Jones,Serena Williams
3887,Pete Davidson,Russell Brand
3888,Tina Fey,Natalia Veselnitskaya
3890,Kenan Thompson,Michael Curry
3891,Aidy Bryant,Jennifer Schulte
2683,Tina Fey,Sarah Palin
3826,Fred Armisen,Michael Wolff
3737,John Goodman,Rex Tillerson
3821,Leslie Jones,Omarosa Manigault
3832,Cecily Strong,Stormy Daniels
3766,Jimmy Fallon,Jared Kushner
3881,Martin Short,Harold Bornstein
2598,Scarlett Johansson,Ivanka Trump
3844,Heidi Gardner,Ainsley Earhardt
3879,Nasim Pedrad,Ma Anand Sheela
3872,Heidi Gardner,Kersti Kaljulaid
3873,Kate McKinnon,Dalia Grybauskaite
3871,Alex Moffat,Raimonds Vejonis
3876,Chadwick Boseman,R. Kelly
3781,Bill Hader,Anthony Scaramucci
2418,Bill Hader,Al Pacino
2979,Bill Hader,Alan Alda
3121,Bill Hader,Clint Eastwood
3870,Pete Davidson,Adam Sandler
3869,Mikey Day,Pee-Wee Herman
3865,Heidi Gardner,Drew Barrymore
3241,Kate McKinnon,Jodie Foster
3866,Kate McKinnon,Lisa Kudrow
3434,Kyle Mooney,Joey Lawrence
3868,Luke Null,Eddie Vedder
