sid,eid,1,10,2,3,4,5,6,7,8,9,Aged 18-29,Aged 18-29_avg,Aged 30-44,Aged 30-44_avg,Aged 45+,Aged 45+_avg,Aged under 18,Aged under 18_avg,Females,Females Aged 18-29,Females Aged 18-29_avg,Females Aged 30-44,Females Aged 30-44_avg,Females Aged 45+,Females Aged 45+_avg,Females under 18,Females under 18_avg,Females_avg,IMDb staff,IMDb staff_avg,IMDb users,IMDb users_avg,Males,Males Aged 18-29,Males Aged 18-29_avg,Males Aged 30-44,Males Aged 30-44_avg,Males Aged 45+,Males Aged 45+_avg,Males under 18,Males under 18_avg,Males_avg,Non-US users,Non-US users_avg,Top 1000 voters,Top 1000 voters_avg,US users,US users_avg
16,2,1,3,0,1,0,4,1,12,2,1,5,7.3,10,6.2,6,7.4,0,,5.0,0,,3,4.3,2,9.5,0,,5.9,0,,25,6.8,16.0,5,7.3,7,7.1,4,6.8,0,,7.1,6,7.3,12,6.4,12,6.6
15,18,3,6,0,1,4,4,1,4,13,3,4,8.5,13,5.9,15,7.6,0,,9.0,1,8.0,3,4.0,4,7.2,0,,5.9,0,,39,6.8,24.0,2,9.0,10,6.6,11,7.2,0,,7.3,6,5.4,13,6.1,26,7.3
15,17,1,2,0,1,0,5,6,5,2,0,3,6.3,9,4.8,7,7.1,0,,5.0,0,,2,3.0,3,8.0,0,,5.6,0,,22,6.2,14.0,3,6.3,7,5.6,4,6.5,0,,6.2,5,5.9,10,5.5,14,6.1
15,19,2,8,1,0,1,5,5,8,3,1,4,5.8,12,5.0,14,7.4,0,,5.0,0,,2,3.0,3,9.3,0,,5.8,0,,34,6.8,24.0,3,7.0,10,5.7,11,7.0,0,,6.7,9,5.4,10,5.8,20,7.1
15,16,1,1,0,0,3,4,9,3,1,2,2,6.0,11,5.8,6,6.2,0,,5.0,1,5.0,2,3.0,2,9.0,0,,5.6,0,,24,6.0,14.0,1,7.0,9,6.4,4,5.2,0,,6.1,4,6.2,13,5.5,15,6.1
15,15,2,5,1,2,1,3,9,6,4,0,5,6.8,14,6.4,10,6.2,0,,8.0,2,4.0,3,5.3,3,6.3,0,,4.5,0,,33,6.3,20.0,2,8.5,11,6.9,7,5.9,0,,6.8,5,5.3,13,5.7,23,6.5
15,13,1,6,1,1,1,5,3,10,5,1,4,6.5,11,5.7,12,7.8,0,,8.0,0,,4,5.5,3,8.3,0,,6.4,0,,34,6.8,19.0,3,5.3,7,5.8,9,7.5,0,,6.8,4,6.8,11,5.7,20,6.5
15,8,1,1,0,0,1,4,1,6,3,1,1,7.0,6,5.2,7,7.5,0,,4.0,0,,2,3.0,2,9.5,0,,6.2,0,,18,6.4,10.0,1,7.0,4,6.8,5,6.9,0,,6.8,4,7.2,10,5.8,10,6.5
15,11,1,2,0,0,0,5,5,5,5,0,2,8.0,10,5.9,8,7.5,0,,6.0,0,,3,4.0,3,8.0,0,,5.7,0,,23,6.6,13.0,1,8.0,7,6.7,5,7.1,0,,6.9,3,6.7,9,6.2,16,6.8
15,12,1,2,0,2,2,5,4,2,2,1,2,4.5,8,4.7,8,7.6,0,,4.0,0,,2,3.0,2,9.0,0,,6.0,0,,21,5.9,14.0,2,4.5,6,5.2,6,7.0,0,,5.9,3,6.0,9,5.3,15,5.9
15,9,2,1,1,0,1,3,5,3,2,1,4,4.5,5,4.0,7,7.0,0,,5.0,1,1.0,2,3.0,2,9.0,0,,4.4,0,,19,5.7,10.0,2,5.5,3,4.7,5,6.3,0,,5.7,3,5.0,11,5.4,12,5.5
15,10,1,2,0,0,1,7,12,5,2,2,3,6.7,17,6.0,9,7.1,0,,10.0,1,6.0,6,4.9,3,7.7,0,,5.9,0,,32,6.3,18.0,1,7.0,11,6.4,6,6.6,0,,6.5,4,6.2,13,6.4,24,6.6
15,14,1,4,0,0,3,3,4,7,2,1,2,6.5,11,5.1,8,7.6,0,,6.0,0,,4,5.8,2,9.0,0,,5.9,0,,25,6.6,14.0,1,7.0,7,5.5,6,7.0,0,,6.2,7,6.8,11,5.8,13,5.9
15,6,1,1,1,0,1,10,8,6,2,1,3,6.0,12,5.1,12,6.6,0,,5.0,0,,3,4.3,2,9.0,0,,6.0,0,,31,5.9,20.0,2,6.0,8,5.7,10,6.2,0,,6.0,6,5.4,12,5.7,19,6.0
15,7,1,1,0,2,1,6,4,5,5,0,2,7.5,10,5.7,8,6.6,0,,5.0,0,,2,3.0,3,8.0,0,,5.6,0,,25,6.0,14.0,1,7.0,8,6.5,5,5.8,0,,6.3,5,6.2,11,5.2,14,6.1
15,1,1,4,0,1,0,6,5,6,2,3,5,6.1,10,5.4,10,8.1,0,,6.0,1,6.0,3,4.3,2,9.0,0,,6.0,0,,28,6.8,19.0,3,7.7,7,5.6,8,7.8,0,,6.9,9,5.6,10,6.0,15,7.2
15,2,1,3,1,0,0,6,8,8,1,0,4,6.5,12,5.9,8,7.0,0,,8.0,0,,4,4.2,4,7.2,0,,5.6,0,,28,6.2,15.0,3,6.3,8,6.4,4,6.5,0,,6.5,4,7.5,10,6.1,18,6.2
