,index,sid,eid,1,10,2,3,4,5,6,7,8,9,Aged 18-29,Aged 18-29_avg,Aged 30-44,Aged 30-44_avg,Aged 45+,Aged 45+_avg,Aged under 18,Aged under 18_avg,Females,Females Aged 18-29,Females Aged 18-29_avg,Females Aged 30-44,Females Aged 30-44_avg,Females Aged 45+,Females Aged 45+_avg,Females under 18,Females under 18_avg,Females_avg,IMDb staff,IMDb staff_avg,IMDb users,IMDb users_avg,Males,Males Aged 18-29,Males Aged 18-29_avg,Males Aged 30-44,Males Aged 30-44_avg,Males Aged 45+,Males Aged 45+_avg,Males under 18,Males under 18_avg,Males_avg,Non-US users,Non-US users_avg,Top 1000 voters,Top 1000 voters_avg,US users,US users_avg
232,1322,41,7,5,56,1,0,6,10,9,33,53,37,77,8.2,51,7.8,31,7.5,3,9.0,39.0,16,8.9,12,7.6,5,7.4,1,7.0,8.1,0,,210,8.0,129.0,58,8.0,38,7.8,26,7.5,2,10.0,7.9,57,8.0,24,7.8,77,7.8
233,1323,41,1,19,21,5,10,7,21,42,42,30,9,61,6.6,60,6.2,36,6.4,4,5.8,37.0,14,6.1,11,7.4,7,8.4,0,,6.9,0,,206,6.3,131.0,45,6.6,48,6.1,28,5.9,4,5.8,6.3,55,6.7,28,7.0,71,5.9
234,1424,40,19,5,11,1,0,7,13,33,35,11,5,45,6.8,40,6.2,19,6.8,0,,20.0,8,7.9,6,6.6,3,7.0,0,,7.2,0,,121,6.6,87.0,34,6.6,34,6.2,16,6.7,0,,6.4,45,6.5,28,6.4,47,6.5
235,1425,40,18,13,14,4,3,12,19,28,22,10,3,39,6.5,44,5.2,21,6.2,0,,21.0,6,7.8,7,6.3,5,7.2,0,,6.9,0,,128,5.8,87.0,30,6.2,37,5.1,16,6.0,0,,5.6,41,5.9,25,6.1,52,5.6
236,1426,40,14,9,14,4,5,6,18,36,27,15,5,48,6.1,46,6.1,21,7.2,0,,22.0,10,6.4,7,6.5,2,8.5,0,,6.7,0,,139,6.2,95.0,36,6.0,38,6.0,19,7.1,0,,6.2,51,6.1,25,6.1,49,6.6
237,1438,40,16,3,41,1,0,2,3,13,27,56,30,67,8.2,54,8.0,23,7.7,1,10.0,24.0,6,8.4,12,7.7,3,9.0,0,,8.1,0,,176,8.1,127.0,59,8.1,42,8.0,19,7.6,1,10.0,8.0,63,7.8,28,7.7,65,8.2
238,1444,40,15,4,23,0,1,2,11,17,43,36,13,53,7.7,43,7.1,26,7.5,1,7.0,26.0,11,8.9,7,7.5,3,8.3,0,,8.0,0,,150,7.4,99.0,39,7.4,36,7.0,21,7.2,1,7.0,7.2,51,7.3,25,7.2,55,7.3
239,1445,40,17,5,30,0,2,2,7,18,47,36,11,56,7.7,50,7.1,24,7.4,0,,20.0,8,7.7,6,7.6,3,7.7,0,,7.6,0,,158,7.5,112.0,46,7.7,44,7.0,20,7.3,0,,7.3,51,7.3,26,7.0,61,7.2
240,1446,40,10,5,33,2,2,4,9,27,51,21,5,54,7.7,46,6.8,28,6.7,0,,23.0,10,8.4,5,6.5,5,8.4,0,,7.8,0,,159,7.2,107.0,41,7.5,40,6.8,23,6.4,0,,7.0,51,7.0,24,6.8,52,7.1
241,1447,40,13,4,15,0,2,1,5,19,44,39,15,47,7.7,48,7.0,23,7.5,0,,14.0,6,7.6,3,7.3,2,8.0,0,,7.5,0,,144,7.4,110.0,39,7.7,45,7.0,21,7.4,0,,7.4,48,7.3,28,7.0,57,7.3
242,1448,40,8,6,19,2,2,9,17,39,40,19,7,52,6.7,50,6.2,24,6.7,1,10.0,23.0,11,6.8,6,6.4,3,7.3,0,,6.8,0,,160,6.5,108.0,39,6.6,43,6.2,21,6.6,1,10.0,6.4,55,6.7,24,6.3,59,6.4
243,1450,40,11,8,20,2,3,8,7,27,41,22,12,46,7.3,50,6.6,26,6.8,0,,23.0,10,7.9,7,7.2,3,7.7,0,,7.5,0,,150,7.0,100.0,33,7.1,42,6.5,23,6.7,0,,6.8,51,6.8,21,6.7,54,6.9
244,1451,40,9,5,32,0,1,2,5,19,45,48,27,72,8.0,52,7.2,27,7.5,1,9.0,35.0,17,7.8,10,6.7,5,8.1,1,9.0,7.5,0,,184,7.6,119.0,53,8.0,41,7.3,22,7.4,0,,7.6,61,7.5,22,7.0,59,7.5
245,1452,40,20,4,8,1,3,6,12,36,22,12,1,36,6.6,30,5.8,19,6.8,1,8.0,18.0,6,7.8,4,4.8,3,7.0,0,,6.8,0,,105,6.4,73.0,28,6.2,26,5.8,16,6.7,1,8.0,6.2,33,6.6,24,6.2,43,6.1
246,1453,40,7,11,18,1,2,7,22,32,29,15,3,43,6.5,47,6.3,25,6.2,0,,25.0,8,6.4,9,6.6,6,8.4,0,,6.8,0,,140,6.4,92.0,33,6.4,38,6.2,19,5.7,0,,6.2,45,6.0,20,6.3,50,6.5
247,1467,40,6,6,26,2,1,2,6,20,46,45,19,54,7.9,53,7.4,28,6.8,1,7.0,27.0,11,8.0,8,7.8,5,7.2,0,,7.8,0,,173,7.5,114.0,40,7.8,45,7.3,23,6.7,1,7.0,7.3,57,7.4,24,7.4,62,7.3
248,1468,40,5,20,19,7,7,14,20,39,34,32,3,60,6.2,60,6.1,36,6.5,0,,27.0,11,5.9,5,5.5,8,8.2,0,,6.5,0,,195,6.2,137.0,46,6.3,55,6.1,28,6.1,0,,6.2,58,6.5,23,6.5,77,6.2
249,1469,40,3,3,79,2,1,1,6,14,36,76,50,106,8.8,72,7.9,33,7.2,1,8.0,54.0,26,9.2,16,8.1,7,6.0,1,8.0,8.5,0,,268,8.3,164.0,76,8.7,56,7.9,26,7.4,0,,8.2,76,7.9,29,7.6,94,8.3
250,1470,40,4,9,60,2,2,1,12,20,61,72,27,91,8.3,83,7.5,40,7.4,1,9.0,34.0,14,8.7,11,7.4,5,6.8,1,9.0,8.0,0,,266,7.7,191.0,74,8.2,72,7.5,35,7.4,0,,7.8,79,7.6,30,7.2,95,7.7
251,1472,40,1,9,29,6,7,8,30,48,80,38,11,101,7.2,76,6.5,38,6.3,1,10.0,41.0,19,7.5,11,6.6,7,6.7,0,,7.0,0,,266,6.8,183.0,78,7.2,65,6.5,31,6.2,1,10.0,6.7,74,6.7,31,6.7,109,6.7
252,1473,40,2,6,18,5,3,4,13,41,63,31,12,72,6.9,53,6.9,30,6.9,1,7.0,30.0,12,6.9,10,7.5,5,8.0,0,,7.4,0,,196,6.9,131.0,57,6.9,43,6.7,25,6.7,1,7.0,6.8,60,7.1,27,7.0,71,6.6
253,1550,40,12,13,17,5,7,13,25,36,19,7,3,41,5.7,47,5.8,28,6.2,1,10.0,23.0,9,6.1,7,6.8,5,7.5,0,,6.7,0,,145,5.9,98.0,30,5.5,39,5.6,23,5.9,1,10.0,5.6,39,5.6,25,6.0,61,5.9
254,1703,38,21,6,29,0,3,4,5,10,24,28,14,43,8.1,40,7.2,19,7.1,1,8.0,23.0,13,8.0,6,7.5,3,7.7,0,,7.8,0,,123,7.6,80.0,28,8.0,33,7.1,16,7.0,1,8.0,7.4,46,7.9,23,6.8,46,7.2
255,1715,38,20,7,30,0,1,3,6,11,33,23,7,45,8.0,42,7.0,15,7.0,0,,25.0,10,6.6,9,7.1,3,8.0,0,,7.1,0,,121,7.3,79.0,33,8.3,32,6.9,12,6.7,0,,7.4,41,7.7,28,7.1,46,7.1
