aid,name,isCast
Jodie Foster,Jodie Foster,0
Ry Cooder,Ry Cooder,0
Flaco Jiménez,Flaco Jiménez,0
George Harrison,George Harrison,0
Jim Keltner,Jim Keltner,0
Olivia Harrison,Olivia Harrison,0
Ron Wood,Ron Wood,0
Tom Scott,Tom Scott,0
George Benson,George Benson,0
Ralph Nader,Ralph Nader,0
PhHy,Phil Hyms,0
Ricky Jay,Ricky Jay,0
Ruth Gordon,Ruth Gordon,0
Chuck Berry,Chuck Berry,0
Bob Dryden,Bob Dryden,0
Stanley Clarke Trio,Stanley Clarke Trio,0
David Carradine,David Carradine,0
George Rose,George Rose,0
Rex Smith,Rex Smith,0
"The cast of ""The Pirates of Penzance""","The cast of ""The Pirates of Penzance""",0
Bill Irwin,Bill Irwin,0
Cheap Trick,Cheap Trick,0
Jack Bruce & Friends,Jack Bruce & Friends,0
Ellen Shipley,Ellen Shipley,0
Jamie Lee Curtis,Jamie Lee Curtis,0
Danny DeVito,Danny DeVito,0
William Duff-Griffin,William Duff-Griffin,0
James Brown,James Brown,0
Captain Beefheart & The Magic Band,Captain Beefheart & The Magic Band,0
Malcolm McDowell,Malcolm McDowell,0
MiKr,Mitchell Kriegman,0
Kid Creole & The Coconuts,Kid Creole & The Coconuts,0
Keith Sykes,Keith Sykes,0
Bill Paxton,Bill Paxton,0
Ellen Burstyn,Ellen Burstyn,0
Aretha Franklin,Aretha Franklin,0
DaSa,David Sanborn,0
Ray Sharkey,Ray Sharkey,0
Bob Newhart,Bob Newhart,0
PeAy,Peter Aykroyd,1
SaPa,Sarah Paley,0
MaPr,Max Pross,0
Bruce Cockburn,Bruce Cockburn,0
Marianne Faithfull,Marianne Faithfull,0
Bert Convy,Bert Convy,0
The B-52's,The B-52's,0
Teri Garr,Teri Garr,0
John B. Anderson,John B. Anderson,0
ToGa,Tom Gammill,0
Gary Numan,Gary Numan,0
MaNe,Matt Neuman,0
Jack Garner,Jack Garner,0
Joan Hackett,Joan Hackett,0
Kirk Douglas,Kirk Douglas,0
Sam & Dave,Sam & Dave,0
Lucie Lancaster,Lucie Lancaster,0
Rodney Dangerfield,Rodney Dangerfield,0
The J. Geils Band,The J. Geils Band,0
Rob Morrow,Rob Morrow,0
Jerry Mathers,Jerry Mathers,0
Tony Dow,Tony Dow,0
John Belushi,John Belushi,0
Steve Jordan,Steve Jordan,0
Sen. Daniel P. Moynihan,Sen. Daniel P. Moynihan,0
Michael O'Donoghue,Michael O'Donoghue,0
The Grateful Dead,The Grateful Dead,0
Carrie Fisher,Carrie Fisher,0
Richard Benjamin,Richard Benjamin,0
Paula Prentiss,Paula Prentiss,0
Burt Reynolds,Burt Reynolds,0
Strother Martin,Strother Martin,0
The Specials,The Specials,0
Paul McCartney,Paul McCartney,0
Linda McCartney,Linda McCartney,0
3-D,3-D,0
The Amazing Rhythm Aces,The Amazing Rhythm Aces,0
Andrae Crouch,Andrae Crouch,0
The Voices Of Unity,The Voices Of Unity,0
Andrew Gold,Andrew Gold,0
Bonnie Raitt,Bonnie Raitt,0
Connie Crawford,Connie Crawford,0
David Lewis,David Lewis,0
Deb Blair,Deb Blair,0
Miskel Spillman,Miskel Spillman,0
Richard Kneip,Richard Kneip,0
Charles Grodin,Charles Grodin,0
The Persuasions,The Persuasions,0
