sid,eid,tid,title,titleType
14,1,1988100813,The Pat Stevens Show,Show
14,1,1988100811,Big,Miscellaneous
14,1,1988100812,"""Struggle""",Musical Performance
14,1,198810088,,Weekend Update
14,1,1988100810,"Jew, not a Jew",Game Show
14,1,198810087,First Citiwide Change Bank,Commercial
14,1,198810085,"""Take It So Hard""",Musical Performance
14,1,198810083,First Citiwide Change Bank,Commercial
14,1,198810081,Pumping Up With Hans & Franz,Cold Opening
14,1,198810082,,Monologue
14,3,198810229,Bush,Commercial
14,3,198810228,Pete's Fountain,Sketch
14,3,198810227,Bush,Commercial
14,3,198810226,The Crests And Troughs Of Vernon Hawley Jr.,Commercial
14,3,198810225,Portrait Of The Artist,Show
14,3,198810223,Carbon Paper,Commercial
14,3,198810222,,Monologue
14,4,1988110512,Two Sammies,Sketch
14,3,198810221,Alien Dukakis,Cold Opening
14,4,1988110511,"""Little Miss S""",Musical Performance
14,4,1988110510,Dukakis,Commercial
14,4,198811057,,Weekend Update
14,4,198811054,The Liberal,Sketch
14,4,198811059,"Win, Lose Or Tie",Game Show
14,4,198811056,"""What I Am""",Musical Performance
14,4,198811055,Church Chat,Show
14,2,1988101514,Baby,Sketch
14,2,1988101511,Laurie Has a Story,Film
14,4,198811051,Nicknames,Cold Opening
14,2,1988101510,Learning to Feel,Show
14,4,198811053,The Republican Party,Commercial
14,4,198811052,,Monologue
14,2,1988101513,"""Motorcrash""",Musical Performance
14,2,1988101512,Hollywood Salute,Show
14,2,198810153,McDonnell-Rand,Commercial
14,2,198810158,Nude Beach,Sketch
14,2,198810157,,Weekend Update
14,2,198810155,Cooking With Monkey,Show
14,2,198810159,The Thumper Family,Sketch
14,2,198810152,,Monologue
14,2,198810156,"""Birthday""",Musical Performance
14,5,1988111210,Don't Move,Sketch
14,5,198811128,,Weekend Update
14,5,198811129,One Man's Demons,Sketch
14,5,198811127,"""I Call Your Name""",Musical Performance
14,5,198811126,The World Of Dr. Know-It-All,Show
14,5,198811125,Camping Trip,Sketch
14,5,198811124,Beauty and the Beast - The Double Date,Sketch
14,5,198811121,Negative Ad,Cold Opening
14,7,1988120312,Celebrity Restaurant,Sketch
14,7,1988120310,The Bastard Battalion,Sketch
14,5,198811122,,Monologue
14,7,1988120313,Guardian Angels,Sketch
14,7,1988120311,"""Hazy Shade of Winter""",Musical Performance
14,5,198811123,Neuburg's Bleu Cheese Cooler,Commercial
14,7,198812039,You Shot Me!,Sketch
14,7,198812038,,Weekend Update
14,7,198812036,Scrooge,Sketch
14,7,198812033,Big Red,Commercial
14,7,198812037,"""In Your Room""",Musical Performance
14,7,198812032,,Monologue
14,7,198812031,Pumping Up With Hans & Franz,Cold Opening
14,7,198812035,Reclino Love Lounge,Commercial
14,7,198812034,Sex Tonight,Show
14,6,198811196,"""Mountains O' Things""",Musical Performance
14,6,198811194,Animal Confession,Sketch
14,6,198811191,The Oprah Winfrey Show,Cold Opening
14,6,198811193,Long White Beard,Commercial
14,6,198811192,,Monologue
15,18,1990042113,,Goodnights
15,18,1990042112,Middle-Aged Man,Sketch
15,19,1990051212,"""Falling""",Musical Performance
15,19,199005125,Cooking with The Anal Retentive Chef,Show
15,19,1990051214,Protest,Miscellaneous
15,19,1990051215,,Goodnights
15,18,1990042111,"""Channel Z""",Musical Performance
15,17,1990041412,,Goodnights
15,17,1990041411,Playgirl Models,Sketch
15,17,1990041410,"""Blue Before & After""",Musical Performance
15,17,199004149,Movers And Shakers,Show
15,16,1990032412,,Goodnights
15,15,1990031717,,Goodnights
15,14,1990022412,,Goodnights
15,13,1990021717,,Goodnights
15,13,1990021716,Jensen Syringe Company,Commercial
15,13,1990021715,Black History Moment,Show
15,13,1990021713,"""Monkey on My Back""",Musical Performance
15,13,1990021712,Jensen Syringe Company,Commercial
15,13,1990021711,The Mob,Commercial
15,13,1990021710,Jensen Syringe Company,Commercial
15,12,1990021014,Dials & Gauges,Sketch
15,12,1990021016,,Goodnights
15,12,1990021015,We Are World,Miscellaneous
15,12,1990021013,Soviet Central Committee,Sketch
15,12,1990021011,Swimsuit Issue,Sketch
15,12,1990021010,Crown Heights,Sketch
15,12,1990021012,"""We Be Doinit""",Musical Performance
15,12,199002109,,Weekend Update
